replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211129,m2-482,IMG_3883.JPG,20211129_IMG_3883,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3883.JPG,FALSE,l,9.25834436693477,2.89014485307195,2,2.68956385985021
replicate_2,gen_3,20211129,m2-477,IMG_3811.JPG,20211129_IMG_3811,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3811.JPG,FALSE,r,4.11814825333712,2.84010224368077,2,2.65245263115186
replicate_2,gen_3,20211129,m2-484,IMG_3911.JPG,20211129_IMG_3911,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3911.JPG,FALSE,l,0.842109662320294,1.42719826145102,2,1.42719826145102
replicate_2,gen_3,20211129,m2-486,IMG_3934.JPG,20211129_IMG_3934,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3934.JPG,FALSE,r,8.87957158869194,3.38017352318486,2,2.78757939308398
replicate_2,gen_3,20211129,m2-482,IMG_3889.JPG,20211129_IMG_3889,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3889.JPG,FALSE,r,10.7915468300613,3.27727064315785,2,2.97403192863991
replicate_2,gen_3,20211129,m2-479,IMG_3848.JPG,20211129_IMG_3848,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3848.JPG,FALSE,l,1.07134571988949,4.45198979269039,2,1.89910791488285
replicate_2,gen_3,20211129,m2-485,IMG_3922.JPG,20211129_IMG_3922,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3922.JPG,FALSE,l,6.51909184726522,1.86274509803922,2,1.61197110423117
replicate_2,gen_3,20211129,m2-482,IMG_3878.JPG,20211129_IMG_3878,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3878.JPG,FALSE,l,9.67185917738565,3.36435912352143,2,2.84079891409734
replicate_2,gen_3,20211129,m2-487,IMG_3945.JPG,20211129_IMG_3945,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3945.JPG,TRUE,r,14.2045395844741,3.73993987168494,2,3.73993987168494
replicate_2,gen_3,20211129,m2-484,IMG_3915.JPG,20211129_IMG_3915,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3915.JPG,FALSE,l,1.36060955307978,2.35305416826738,2,1.6455372006659
replicate_2,gen_3,20211129,m2-487,IMG_3944.JPG,20211129_IMG_3944,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3944.JPG,FALSE,l,14.3555039442598,3.33059704480839,2,3.49677651864013
replicate_2,gen_3,20211129,m2-478,IMG_3819.JPG,20211129_IMG_3819,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3819.JPG,FALSE,l,0.743207273410507,2.30686527280509,2,2.2807695118005
replicate_2,gen_3,20211129,m2-479,IMG_3850.JPG,20211129_IMG_3850,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3850.JPG,FALSE,r,1.15475139746984,3.86248056150969,2,2.27693018955155
replicate_2,gen_3,20211129,m2-487,IMG_3942.JPG,20211129_IMG_3942,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3942.JPG,FALSE,l,11.9497529552786,3.51417461725123,2,3.33778371161549
replicate_2,gen_3,20211129,m2-489,IMG_3974.JPG,20211129_IMG_3974,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3974.JPG,FALSE,r,1.12559436873373,2.09744901881115,2,1.85805431404632
replicate_2,gen_3,20211129,m2-480,IMG_3845.JPG,20211129_IMG_3845,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3845.JPG,TRUE,r,7.49148821790162,2.33290027775289,2,2.04954753158319
replicate_2,gen_3,20211129,m2-488,IMG_3964.JPG,20211129_IMG_3964,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3964.JPG,FALSE,l,9.6144345176829,3.72390794186669,2,3.72390794186669
replicate_2,gen_3,20211129,m2-483,IMG_3900.JPG,20211129_IMG_3900,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3900.JPG,FALSE,r,11.9395138550359,4.05853621235149,2,3.92758485552338
replicate_2,gen_3,20211129,m2-477,IMG_3805.JPG,20211129_IMG_3805,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3805.JPG,FALSE,l,4.85183147303883,3.33280930671278,2,3.35639050463764
replicate_2,gen_3,20211129,m2-483,IMG_3901.JPG,20211129_IMG_3901,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3901.JPG,TRUE,r,14.2570974649444,4.02822868458014,2,4.084640003684
replicate_2,gen_3,20211129,m2-480,IMG_3837.JPG,20211129_IMG_3837,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3837.JPG,FALSE,r,7.18340495517004,2.67812616053902,2,2.05952570428139
replicate_2,gen_3,20211129,m2-489,IMG_3972.JPG,20211129_IMG_3972,photos/replicate_2/gen_3/color_corrected/20211129-IMG_3972.JPG,FALSE,l,1.3928029481899,1.86104487318448,2,1.71905484500325
